nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,critical_rate,grade_a_rate,inspection_frequency,viability_score,risk_bucket,final_score,similar_ntas,rank
MN31,1,Growing Market,0.5245556372467512,0.0161290322580645,0.4600110967426297,3.0,0.5114155251141552,0.3302891933028919,4.132075471698113,1.0,Low,0.5938266935957524,"MN20,BK61,SI05",41
QN54,1,Growing Market,0.4911826430544718,0.0069444444444444,0.4713612098928011,1.0,0.5219298245614035,0.32894736842105265,4.384615384615385,1.0,Low,0.5850175411789091,"MN25,MN40,QN02",42
QN02,1,Growing Market,0.4725372074013947,0.0,0.4867286544689403,0.0,0.5222222222222223,0.4166666666666667,3.9130434782608696,1.0,Low,0.5837063447481341,"BX14,QN21,QN54",43
MN20,1,Growing Market,0.5016186148221246,0.0137362637362637,0.4482975939876025,3.0,0.5155440414507773,0.3316062176165803,4.46242774566474,1.0,Low,0.5799664835238909,"MN31,SI05,QN54",44
BK96,3,High Opportunity,0.5887107473149187,0.0,0.606391169676915,0.0,0.0,0.0,1.0,0.5,Medium,0.5780407667967334,"BK88,QN34,MN35",45
QN55,3,High Opportunity,0.6157089857730225,0.0164835164835164,0.5521372068518993,1.0,0.5474747474747474,0.24242424242424243,4.852941176470588,0.5,Medium,0.5671384770499687,"BK63,SI12,BK40",46
SI12,3,High Opportunity,0.6186121885355698,0.0196078431372549,0.5395731704342263,1.0,0.5465116279069767,0.11627906976744186,4.3,0.5,Medium,0.5632741435879184,"QN55,BK40,BK63",47
BK63,3,High Opportunity,0.603752136329701,0.0136986301369863,0.5536857932307029,1.0,0.0,0.0,1.0,0.5,Medium,0.5629751718241616,"QN55,BK40,SI12",48
BX14,1,Growing Market,0.4468517887148048,0.0,0.4602718398922722,0.0,0.4927536231884058,0.3188405797101449,3.1363636363636362,1.0,Low,0.5628494514428308,"QN02,SI08,QN18",49
BK88,3,High Opportunity,0.5661838287425303,0.0,0.5831877126912384,0.0,0.5619469026548672,0.25663716814159293,4.185185185185185,0.5,Medium,0.5597486165735075,"MN35,BK96,QN34",50
