nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,critical_rate,grade_a_rate,inspection_frequency,viability_score,final_score,similar_ntas,rank,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast,halal_demand_forecast_norm,final_score_adjusted
BK44,2,Established Hub,0.6496216063486949,0.0649350649350649,0.3458527498457017,2.0,0.5637860082304527,0.3004115226337449,4.2631578947368425,0.5,0.4981897424777586,"BK83,BK25,SI01",77,1.0,High,High Risk,High confidence,0.46914240601765905,1.6198967363310874,0.4877894428497987,0.44411727534401524
MN33,1,Growing Market,0.3743769874085387,0.0,0.3856204431976241,0.0,0.5011185682326622,0.3355704697986577,4.257142857142857,1.0,0.5039989722424651,"BX41,MN17,QN07",78,1.0,High,Medium-High Risk,High confidence,0.3725862749796224,1.9528777308510705,0.30533782843308044,0.44147977230204194
BK83,2,Established Hub,0.6501897994730407,0.0681818181818181,0.330274078157635,2.0,0.6039215686274509,0.2745098039215686,4.25,0.5,0.4921855510522702,"BK44,BK25,SI01",79,1.0000000000000004,High,High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.4366728039814073
QN68,1,Growing Market,0.46260332802387,0.0297029702970297,0.3286204915338771,1.0,0.0,0.0,1.0,0.5,0.4164895278230989,"MN28,BK26,SI28",80,6.306952383765576e-95,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.4347228267746153
SI54,1,Growing Market,0.48582441872574,0.0103092783505154,0.4490902725546151,1.0,0.5671641791044776,0.2686567164179104,2.7916666666666665,0.5,0.473965876512142,"BK28,SI45,BK68",81,0.9999999999999999,High,High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.4205080946516499
QN12,1,Growing Market,0.3369869870583846,0.0,0.3471075297677938,0.0,0.5217391304347826,0.4456521739130434,3.066666666666667,1.0,0.4736378067304714,"BK35,QN08,MN33",82,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.4202170272865933
MN12,1,Growing Market,0.382142837993659,0.0144927536231884,0.3214674901740937,1.0,0.5308483290488432,0.3611825192802056,3.949238578680203,1.0,0.4814441312671011,"BK37,MN23,MN19",83,1.0,High,Medium-High Risk,High confidence,0.33295415080711044,1.7891804962929025,0.2304493158104057,0.4186581315824083
MN23,1,Growing Market,0.3493638052817926,0.012108980827447,0.2995716123786576,4.0,0.5293255131964809,0.3592375366568915,3.7472527472527473,1.0,0.4595741670641801,"MN12,MN27,BK37",84,1.0,High,Medium-High Risk,High confidence,0.5698991355900784,2.372084519621672,0.6781784712440169,0.41713027301819344
BK37,1,Growing Market,0.3833481195061672,0.0185185185185185,0.3026667383804747,2.0,0.5269645608628659,0.4175654853620955,3.605555555555555,1.0,0.4744059431546568,"MN12,MN23,QN60",85,1.0,High,Medium-High Risk,High confidence,0.34400970480527926,1.7386617125507386,0.2513397932306588,0.41338020447254864
MN27,1,Growing Market,0.3214398308056965,0.0060514372163388,0.3009664338792832,3.0,0.5329153605015674,0.2957157784743991,4.47196261682243,1.0,0.4489625058739919,"QN08,MN23,BK35",86,1.0,High,Medium-High Risk,High confidence,0.5199434437965784,1.9528777308510705,0.5837826362095997,0.403896333788156
BK35,1,Growing Market,0.3279310739992077,0.0,0.3377796455097046,0.0,0.5306859205776173,0.2707581227436823,4.196969696969697,1.0,0.4662842878035649,"QN12,QN08,MN27",87,1.0,High,Medium-High Risk,High confidence,0.25134078339289245,1.9528777308510705,0.07623341587088768,0.3993630923752563
QN08,1,Growing Market,0.3057790052253698,0.0,0.3149622959780416,0.0,0.4945054945054945,0.5054945054945055,3.5,1.0,0.4482965204813646,"BK35,QN12,MN27",88,1.0,High,Medium-High Risk,High confidence,0.4426794593010697,1.9528777308510705,0.4377852919092093,0.3977339403710294
MN22,0,Low Demand,0.3305655747326269,0.0211864406779661,0.2350167806268188,5.0,0.5160866710439921,0.319763624425476,4.039787798408488,1.0,0.4262329421437782,"QN60,MN15,QN98",89,1.0,High,Medium-High Risk,High confidence,0.6522377611426786,3.415591104180482,0.8337648125712969,0.3925051332972601
