restaurant_id,latitude,longitude,nta,zone_id,in_nyc_nta,in_modeled_microzone
yntinnAv9PrgA_vfc10ahA,40.71832,-73.95897,BK73,bk-williamsburg,True,True
Z3yjBSmuoQbz6olnO_S1tQ,40.7199142,-73.957883,BK73,bk-williamsburg,True,True
MU9gYp1tdK4iB0E2blZUVQ,40.71837,-73.95045,BK73,bk-williamsburg,True,True
D1ktSW5zG_1I9kKQ1Dyyjg,40.72640976355685,-73.97863855792885,MN28,nta-mn28,True,True
DW5SL9RM-kJnmRyYo4oEqg,40.7436227,-73.97989050000001,MN20,nta-mn20,True,True
JCERLcETZdf3q1tdrI3avg,40.742614,-73.979977,MN20,nta-mn20,True,True
giDQbxQ6i6t5UiaJNNcKgg,40.744485,-73.95382,QN31,nta-qn31,True,True
mZE91iNgAJhm7r1eWGqaEQ,40.7431877,-73.9802323,MN20,nta-mn20,True,True
dY0kJNKYzoMg2onA2RPdzg,40.742614,-73.979977,MN20,nta-mn20,True,True
AoZ_kDSEDKQvLISAfWkmCA,40.743718,-73.979859,MN20,nta-mn20,True,True
XpYm_l-zKI3Rl4E8WODIDA,40.7163303847776,-73.9617204666138,BK73,bk-williamsburg,True,True
zZB16CxRkC74uJikerWISQ,40.717767760760935,-73.9573924,BK73,bk-williamsburg,True,True
xpHm-sIPxE-Vv1Ypf9QCoQ,40.7163403,-73.95908690000002,BK73,bk-williamsburg,True,True
BbMUXd69i0tlWS2aoppwaQ,40.7291717528508,-73.98111043269348,MN22,mn-nyu-wash-sq,True,True
jW22gmsZjh5hFJsC1qUDOA,40.74496,-73.95362794785042,QN31,nta-qn31,True,True
ctRzos5C2-vqofjG0OfpXw,40.745655,-73.945442,QN31,nta-qn31,True,True
8xiEHeHwSWl9SNX8o8hkHQ,40.7389864083256,-73.9758310357295,MN20,nta-mn20,True,True
e7jRn5TNlF84k7PuvJ1MOA,40.7458575124991,-73.9528775638914,QN31,nta-qn31,True,True
VIsHOICs7SWE-oj3jjHImg,40.73873803775075,-73.9748560987841,MN20,nta-mn20,True,True
tAk3plscJwQM850_urnhJA,40.7254890746247,-73.9459329843521,BK76,nta-bk76,True,True
xWeE46jsrtzmCKGebSeT9A,40.7210141970542,-73.9569997787476,BK73,bk-williamsburg,True,True
A_LgiRnAhJTsAS1fT2L42g,40.7414442546973,-73.9784949297154,MN20,nta-mn20,True,True
2kvKew-I6h7ItdNBn7TxDw,40.745145632560586,-73.97829927612284,MN20,nta-mn20,True,True
bBJ9Ak-0HZ7Y3MohaLOIyQ,40.74428657449765,-73.93106549978256,QN31,nta-qn31,True,True
uKxYiV2xoO1AUGUAakAfDQ,40.741883,-73.919443,QN31,nta-qn31,True,True
eW7kDF_1PT0CBbKA0sjLfA,40.743817,-73.92116,QN31,nta-qn31,True,True
hdmEfmL3J-QYcEnNkZV_4Q,40.738993,-73.926683,QN31,nta-qn31,True,True
CypNLOSll5QOSeytI7vYQg,40.7419122977856,-73.9195425573355,QN31,nta-qn31,True,True
Dhg6I64O3ZR2SbEKGUJ6NQ,40.74243708943939,-73.9191635509249,QN31,nta-qn31,True,True
lN5tiN-4eBNeh8F0zcI6Hw,40.7433998,-73.91802142484273,QN31,nta-qn31,True,True
J0vr8Jpe9t7UgoybpbgkFQ,40.7431256,-73.9209581,QN31,nta-qn31,True,True
4fQuriJ0mFzzG6RE1cRV5A,40.74051,-73.92241,QN31,nta-qn31,True,True
T8WDcV3eb31Lu26aFdgXGA,40.7446615,-73.9357911,QN31,nta-qn31,True,True
673uOj9BEO27yC4L12jQYQ,40.7403463,-73.92283230000001,QN31,nta-qn31,True,True
RhjdjiI58fpIVHxR-denpw,40.744519,-73.910777,QN63,nta-qn63,True,True
joIA9FVmV8BlyQRy-M9swA,40.74477548612072,-73.9097520285302,QN63,nta-qn63,True,True
m-t0795rAIctj_pEy30pmg,40.7433249,-73.9186659,QN31,nta-qn31,True,True
DjyZd1H1X3BZBD9OPXpuUQ,40.74323,-73.92059,QN31,nta-qn31,True,True
kawmpvfSzhDAy9pk8n3MxQ,40.73900781214698,-73.91781709779413,QN31,nta-qn31,True,True
