nta,median_household_income,population_16plus,inspection_count,avg_score,critical_violation_rate,trip_count,unique_start_station_count,restaurant_count,halal_count,halal_share,avg_rating,total_review_count
QN8191,,0,,,,725.0,5.0,1.0,0.0,0.0,4.0,480.0
QN8291,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN8381,,0,,,,0.0,0.0,5.0,2.0,0.4,1.7,381.0
QN8491,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN8492,200000.0,8,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI0101,70449.0,16254,,,,0.0,0.0,5.0,2.0,0.4,3.22,34.0
SI0102,57276.0,14076,,,,0.0,0.0,2.0,1.0,0.5,4.4,537.0
SI0103,73470.0,18994,,,,0.0,0.0,4.0,2.0,0.5,2.675,151.0
SI0104,104132.0,28640,,,,0.0,0.0,7.0,3.0,0.4285714285714285,2.3857142857142857,80.0
SI0105,120470.0,25821,,,,0.0,0.0,24.0,11.0,0.4583333333333333,3.1291666666666664,650.0
SI0106,76168.0,15900,,,,0.0,0.0,5.0,0.0,0.0,4.48,295.0
SI0107,88011.0,26226,,,,0.0,0.0,12.0,4.0,0.3333333333333333,3.516666666666667,438.0
SI0191,109867.0,42,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI0201,85557.0,30582,,,,0.0,0.0,7.0,1.0,0.1428571428571428,4.271428571428571,455.0
SI0202,93173.0,23207,,,,0.0,0.0,12.0,6.0,0.5,3.6833333333333336,621.0
SI0203,109072.0,26414,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SI0204,98921.0,35310,,,,0.0,0.0,6.0,2.0,0.3333333333333333,1.9,551.0
SI0291,,0,,,,0.0,0.0,1.0,1.0,1.0,4.0,11.0
SI0301,109406.0,16818,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI0302,119220.0,47501,,,,0.0,0.0,7.0,2.0,0.2857142857142857,3.5285714285714285,401.0
SI0303,111509.0,25344,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI0304,121815.0,33164,,,,0.0,0.0,1.0,0.0,0.0,4.1,37.0
SI0305,134828.0,13834,,,,0.0,0.0,3.0,1.0,0.3333333333333333,2.7,412.0
SI0391,184998.0,43,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI9561,86784.0,324,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI9591,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI9592,112498.0,59,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI9593,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
