id,name,categories,rating,review_count,price,latitude,longitude,is_closed,search_term,anchor_name
n-k6tXYjwriK8LY-HQygcA,Tacos Por Favor,"Mexican, Sandwiches, Breakfast & Brunch",4.9,74,,40.624321,-74.024455,False,halal,grid_r04_c08
RNOoa_KlIgbDt_7ahVhw1A,Istanbul Bay,Turkish,4.0,292,$$,40.6257479292404,-74.024335230917,False,halal,grid_r04_c08
16O6HaQm0mK5hRmQbWISHQ,Halal Munchies,"Halal, Chicken Wings",4.1,15,,40.625833,-74.023877,False,halal,grid_r04_c08
ydNmLZ0VMZgFIZwS9Vn4Fg,Dave's Hot Chicken,"Chicken Shop, Halal, Sandwiches",3.9,87,$$,40.62236,-74.02797,False,halal,grid_r04_c08
wSaXcjLy0WFHPeN44G5weQ,Slap Burger,"Burgers, Chicken Shop, Halal",3.7,14,,40.62206147772176,-74.02657058089972,False,halal,grid_r04_c08
1E8JBqybr70lrC5HOH7vSA,Guac Time Mexican Grill,Mexican,4.5,30,,40.62335604189391,-74.02532493812393,False,halal,grid_r04_c08
N94Ju5XDIa4Ngv48FErz5w,Kemet Kebab,"Food Trucks, Kebab, Sandwiches",5.0,1,,40.62226856883814,-74.02800369343117,False,halal,grid_r04_c08
0c_0W7Qv552tFQPn-hRlkA,Taco Express Mexican Grill,"Mexican, Halal",5.0,1,,40.62239,-74.02537,False,halal,grid_r04_c08
JIWCAWQnRVevwhbyADcLgg,Meze,"Greek, Mediterranean, Seafood",4.2,395,$$,40.62523,-74.00211,False,halal,grid_r04_c08
Wme0MFHowXtVDKjNPBCbYw,Myteriyakii,"Food Trucks, Halal",4.0,1,,40.609361342081215,-74.006092572858,False,halal,grid_r04_c08
YzyHW3w0HUyaG8EvplNT1A,Liu's Shanghai,Shanghainese,4.4,542,$$,40.6026411895768,-74.0038766549142,False,halal,grid_r04_c08
CWEHjt5yU_pE0QBU_17l4A,Halal Cart - 86th and 3rd,"Food Stands, Halal",3.7,9,$,40.62094812261639,-74.0263566,False,halal,grid_r04_c08
58A9iVLw3eX7S4rJwoDvcA,Taco Bell,"Fast Food, Tacos",2.1,71,$,40.62198762714315,-74.02839307488648,False,halal,grid_r04_c08
